,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKE, Inc. | Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYSE:NKE (MI KEY: 4004236; SPCIQ KEY: 291981),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Recommended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periods: Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitude: Thousands (K),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native Currency: USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Currency: Reported Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recommended: S&P Capital IQ - Standard,1994 FQ1,1994 FQ2,1994 FQ3,1994 FQ4,1995 FQ1,1995 FQ2,1995 FQ3,1995 FQ4,1996 FQ1,1996 FQ2,1996 FQ3,1996 FQ4,1997 FQ1,1997 FQ2,1997 FQ3,1997 FQ4,1998 FQ1,1998 FQ2,1998 FQ3,1998 FQ4,1999 FQ1,1999 FQ2,1999 FQ3,1999 FQ4,2000 FQ1,2000 FQ2,2000 FQ3,2000 FQ4,2001 FQ1,2001 FQ2,2001 FQ3,2001 FQ4,2002 FQ1,2002 FQ2,2002 FQ3,2002 FQ4,2003 FQ1,2003 FQ2,2003 FQ3,2003 FQ4,2004 FQ1,2004 FQ2,2004 FQ3,2004 FQ4,2005 FQ1,2005 FQ2,2005 FQ3,2005 FQ4,2006 FQ1,2006 FQ2,2006 FQ3,2006 FQ4,2007 FQ1,2007 FQ2,2007 FQ3,2007 FQ4,2008 FQ1,2008 FQ2,2008 FQ3,2008 FQ4,2009 FQ1,2009 FQ2,2009 FQ3,2009 FQ4,2010 FQ1,2010 FQ2,2010 FQ3,2010 FQ4,2011 FQ1,2011 FQ2,2011 FQ3,2011 FQ4,2012 FQ1,2012 FQ2,2012 FQ3,2012 FQ4,2013 FQ1,2013 FQ2,2013 FQ3,2013 FQ4,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ1,2015 FQ2,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ2,2016 FQ3,2016 FQ4,2017 FQ1,2017 FQ2,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ2,2018 FQ3,2018 FQ4,2019 FQ1,2019 FQ2,2019 FQ3,2019 FQ4,2020 FQ1,2020 FQ2,2020 FQ3,2020 FQ4,2021 FQ1,2021 FQ2,2021 FQ3,2021 FQ4,2022 FQ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,8/31/93,11/30/93,2/28/94,5/31/94,8/31/94,11/30/94,2/28/95,5/31/95,8/31/95,11/30/95,2/29/96,5/31/96,8/31/96,11/30/96,2/28/97,5/31/97,8/31/97,11/30/97,2/28/98,5/31/98,8/31/98,11/30/98,2/28/99,5/31/99,8/31/99,11/30/99,2/29/00,5/31/00,8/31/00,11/30/00,2/28/01,5/31/01,8/31/01,11/30/01,2/28/02,5/31/02,8/31/02,11/30/02,2/28/03,5/31/03,8/31/03,11/30/03,2/29/04,5/31/04,8/31/04,11/30/04,2/28/05,5/31/05,8/31/05,11/30/05,2/28/06,5/31/06,8/31/06,11/30/06,2/28/07,5/31/07,8/31/07,11/30/07,2/29/08,5/31/08,8/31/08,11/30/08,2/28/09,5/31/09,8/31/09,11/30/09,2/28/10,5/31/10,8/31/10,11/30/10,2/28/11,5/31/11,8/31/11,11/30/11,2/29/12,5/31/12,8/31/12,11/30/12,2/28/13,5/31/13,8/31/13,11/30/13,2/28/14,5/31/14,8/31/14,11/30/14,2/28/15,5/31/15,8/31/15,11/30/15,2/29/16,5/31/16,8/31/16,11/30/16,2/28/17,5/31/17,8/31/17,11/30/17,2/28/18,5/31/18,8/31/18,11/30/18,2/28/19,5/31/19,8/31/19,11/30/19,2/29/20,5/31/20,8/31/20,11/30/20,2/28/21,5/31/21,8/31/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Filing Date,1/17/95,1/17/95,4/17/95,8/30/96,10/16/95,1/16/96,4/15/96,8/29/97,10/15/96,1/14/97,4/14/97,8/26/98,10/15/97,1/14/98,4/14/98,8/26/99,10/15/98,1/14/99,4/14/99,8/29/00,10/15/99,1/14/00,4/14/00,8/9/01,10/16/00,1/16/01,4/16/01,8/14/02,10/15/01,1/14/02,4/15/02,8/7/03,10/15/02,1/10/03,4/14/03,7/30/04,10/10/03,1/12/04,4/8/04,7/29/05,9/30/04,12/22/04,4/6/05,7/28/06,10/3/05,1/6/06,4/7/06,7/27/07,10/4/06,1/4/07,4/4/07,7/28/08,10/4/07,1/9/08,4/4/08,7/27/09,10/6/08,1/7/09,4/9/09,7/20/10,10/8/09,1/6/10,4/7/10,7/22/11,10/6/10,1/6/11,4/6/11,7/24/12,10/6/11,1/5/12,4/6/12,7/23/13,1/9/13,1/9/13,4/4/13,7/25/14,10/7/13,1/7/14,4/7/14,7/23/15,10/7/14,1/7/15,4/7/15,7/21/16,10/6/15,1/6/16,4/5/16,7/20/17,10/11/16,1/5/17,4/4/17,7/25/18,10/6/17,1/5/18,4/5/18,7/23/19,10/5/18,1/8/19,4/4/19,7/24/20,10/4/19,1/7/20,4/7/20,7/20/21,10/8/20,1/5/21,4/2/21,7/20/21,10/5/21,10/5/21,10/5/21,7/20/21,10/5/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spot Exchange Rate,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Exchange Rate,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,"956,834","805,789","871,845","1,004,156","1,170,355","1,053,746","1,124,697","1,412,036","1,700,020","1,356,758","1,582,039","1,831,808","2,281,926","2,107,034","2,423,648","2,373,892","2,766,100","2,255,300","2,224,000","2,307,700","2,504,800","1,913,000","2,176,800","2,182,300","2,501,100","2,059,700","2,161,600","2,272,700","2,636,700","2,198,700","2,170,100","2,483,300","2,613,700","2,336,800","2,260,300","2,682,200","2,796,300","2,514,700","2,400,900","2,985,100","3,024,900","2,837,100","2,904,000","3,487,100","3,561,800","3,148,300","3,308,200","3,721,400","3,862,000","3,474,700","3,612,800","4,005,400","4,194,100","3,821,700","3,926,900","4,383,200","4,655,100","4,339,500","4,544,400","5,088,000","5,432,200","4,590,100","4,440,800","4,713,000","4,799,000","4,405,000","4,733,000","5,077,000","5,175,000","4,842,000","5,079,000","5,766,000","5,893,000","5,546,000","5,656,000","6,236,000","6,474,000","5,955,000","6,187,000","6,697,000","6,971,000","6,431,000","6,972,000","7,425,000","7,982,000","7,380,000","7,460,000","7,779,000","8,414,000","7,686,000","8,032,000","8,244,000","9,061,000","8,180,000","8,432,000","8,677,000","9,070,000","8,554,000","8,984,000","9,789,000","9,948,000","9,374,000","9,611,000","10,184,000","10,660,000","10,326,000","10,104,000","6,313,000","10,594,000","11,243,000","10,357,000","12,344,000","12,248,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total Revenue,"956,834","805,789","871,845","1,004,156","1,170,355","1,053,746","1,124,697","1,412,036","1,700,020","1,356,758","1,582,039","1,831,808","2,281,926","2,107,034","2,423,648","2,373,892","2,766,100","2,255,300","2,224,000","2,307,700","2,504,800","1,913,000","2,176,800","2,182,300","2,501,100","2,059,700","2,161,600","2,272,700","2,636,700","2,198,700","2,170,100","2,483,300","2,613,700","2,336,800","2,260,300","2,682,200","2,796,300","2,514,700","2,400,900","2,985,100","3,024,900","2,837,100","2,904,000","3,487,100","3,561,800","3,148,300","3,308,200","3,721,400","3,862,000","3,474,700","3,612,800","4,005,400","4,194,100","3,821,700","3,926,900","4,383,200","4,655,100","4,339,500","4,544,400","5,088,000","5,432,200","4,590,100","4,440,800","4,713,000","4,799,000","4,405,000","4,733,000","5,077,000","5,175,000","4,842,000","5,079,000","5,766,000","5,893,000","5,546,000","5,656,000","6,236,000","6,474,000","5,955,000","6,187,000","6,697,000","6,971,000","6,431,000","6,972,000","7,425,000","7,982,000","7,380,000","7,460,000","7,779,000","8,414,000","7,686,000","8,032,000","8,244,000","9,061,000","8,180,000","8,432,000","8,677,000","9,070,000","8,554,000","8,984,000","9,789,000","9,948,000","9,374,000","9,611,000","10,184,000","10,660,000","10,326,000","10,104,000","6,313,000","10,594,000","11,243,000","10,357,000","12,344,000","12,248,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Of Goods Sold,"581,968","496,128","537,066","608,922","700,447","640,031","678,404","857,598","1,013,379","828,129","953,316","1,127,422","1,362,119","1,277,628","1,435,427","1,446,326","1,665,500","1,409,500","1,428,800","1,572,800","1,562,600","1,229,600","1,364,900","1,334,200","1,534,700","1,238,000","1,286,400","1,360,500","1,569,200","1,327,300","1,341,500","1,546,800","1,584,800","1,441,400","1,376,800","1,601,700","1,639,200","1,504,600","1,424,900","1,744,900","1,723,400","1,637,500","1,682,100","1,958,400","1,976,000","1,760,200","1,849,400","2,038,700","2,113,900","1,963,300","2,038,700","2,252,000","2,344,900","2,164,600","2,191,700","2,464,200","2,568,100","2,418,400","2,496,500","2,756,600","2,870,100","2,540,100","2,492,300","2,669,200","2,583,000","2,445,000","2,515,000","2,671,000","2,741,000","2,649,000","2,752,000","3,212,000","3,275,000","3,170,000","3,171,000","3,567,000","3,646,000","3,425,000","3,451,000","3,757,000","3,839,000","3,605,000","3,869,000","4,040,000","4,261,000","4,053,000","4,034,000","4,186,000","4,419,000","4,185,000","4,343,000","4,458,000","4,938,000","4,564,000","4,682,000","4,854,000","5,108,000","4,876,000","5,046,000","5,411,000","5,551,000","5,269,000","5,272,000","5,551,000","5,789,000","5,782,000","5,631,000","3,960,000","5,853,000","6,366,000","5,632,000","6,686,000","6,552,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Gross Profit,"374,866","309,661","334,779","395,234","469,908","413,715","446,293","554,438","686,641","528,629","628,723","704,386","919,807","829,406","988,221","927,566","1,100,600","845,800","795,200","734,900","942,200","683,400","811,900","848,100","966,400","821,700","875,200","912,200","1,067,500","871,400","828,600","936,500","1,028,900","895,400","883,500","1,080,500","1,157,100","1,010,100","976,000","1,240,200","1,301,500","1,199,600","1,221,900","1,528,700","1,585,800","1,388,100","1,458,800","1,682,700","1,748,100","1,511,400","1,574,100","1,753,400","1,849,200","1,657,100","1,735,200","1,919,000","2,087,000","1,921,100","2,047,900","2,331,400","2,562,100","2,050,000","1,948,500","2,043,800","2,216,000","1,960,000","2,218,000","2,406,000","2,434,000","2,193,000","2,327,000","2,554,000","2,618,000","2,376,000","2,485,000","2,669,000","2,828,000","2,530,000","2,736,000","2,940,000","3,132,000","2,826,000","3,103,000","3,385,000","3,721,000","3,327,000","3,426,000","3,593,000","3,995,000","3,501,000","3,689,000","3,786,000","4,123,000","3,616,000","3,750,000","3,823,000","3,962,000","3,678,000","3,938,000","4,378,000","4,397,000","4,105,000","4,339,000","4,633,000","4,871,000","4,544,000","4,473,000","2,353,000","4,741,000","4,877,000","4,725,000","5,658,000","5,696,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling General & Admin Exp.,"231,374","223,468","231,285","280,067","292,294","268,873","278,311","370,282","369,043","353,715","387,534","478,320","529,537","530,453","577,579","666,131","658,900","593,100","651,400","720,500","652,600","531,900","569,800","672,300","626,500","624,800","632,400","722,600","701,100","673,100","660,200","655,300","696,200","677,700","682,500","764,000","804,800","761,900","758,100","829,500","869,600","902,500","892,000","1,037,900","1,073,600","973,200","1,035,700","1,139,200","1,104,400","1,054,700","1,086,600","1,232,100","1,289,700","1,223,700","1,243,300","1,272,000","1,434,700","1,429,500","1,403,200","1,686,300","1,856,400","1,546,800","1,352,100","1,394,300","1,546,000","1,479,000","1,563,000","1,738,000","1,673,000","1,611,000","1,637,000","1,772,000","1,730,000","1,731,000","1,708,000","1,896,000","2,059,000","1,836,000","1,863,000","2,038,000","2,058,000","2,091,000","2,169,000","2,448,000","2,480,000","2,438,000","2,379,000","2,595,000","2,577,000","2,560,000","2,566,000","2,766,000","2,897,000","2,505,000","2,496,000","2,665,000","2,856,000","2,768,000","2,767,000","3,120,000","3,063,000","3,142,000","3,091,000","3,406,000","3,328,000","3,324,000","3,283,000","3,191,000","2,975,000","3,160,000","3,018,000","3,655,000","3,572,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amort. of Goodwill and Intangibles,NA,NA,NA,"8,409",NA,NA,NA,"13,176",NA,NA,NA,"21,772",NA,NA,NA,"19,800",NA,NA,NA,"19,800",NA,NA,NA,"19,400",NA,NA,NA,"18,500",NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Other Operating Exp., Total","231,374","223,468","231,285","288,476","292,294","268,873","278,311","383,458","369,043","353,715","387,534","500,092","529,537","530,453","577,579","685,931","658,900","593,100","651,400","740,300","652,600","531,900","569,800","691,700","626,500","624,800","632,400","741,100","701,100","673,100","660,200","655,300","696,200","677,700","682,500","764,000","804,800","761,900","758,100","829,500","869,600","902,500","892,000","1,037,900","1,073,600","973,200","1,035,700","1,139,200","1,104,400","1,054,700","1,086,600","1,232,100","1,289,700","1,223,700","1,243,300","1,272,000","1,434,700","1,429,500","1,403,200","1,686,300","1,856,400","1,546,800","1,352,100","1,394,300","1,546,000","1,479,000","1,563,000","1,738,000","1,673,000","1,611,000","1,637,000","1,772,000","1,730,000","1,731,000","1,708,000","1,896,000","2,059,000","1,836,000","1,863,000","2,038,000","2,058,000","2,091,000","2,169,000","2,448,000","2,480,000","2,438,000","2,379,000","2,595,000","2,577,000","2,560,000","2,566,000","2,766,000","2,897,000","2,505,000","2,496,000","2,665,000","2,856,000","2,768,000","2,767,000","3,120,000","3,063,000","3,142,000","3,091,000","3,406,000","3,328,000","3,324,000","3,283,000","3,191,000","2,975,000","3,160,000","3,018,000","3,655,000","3,572,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Operating Income,"143,493","86,193","103,494","106,758","177,614","144,842","167,982","170,980","317,598","174,914","241,189","204,294","390,270","298,953","410,642","241,635","441,700","252,700","143,800","(5,400)","289,600","151,500","242,100","156,400","339,900","196,900","242,800","171,100","366,400","198,300","168,400","281,200","332,700","217,700","201,000","316,500","352,300","248,200","217,900","410,700","431,900","297,100","329,900","490,800","512,200","414,900","423,100","543,500","643,700","456,700","487,500","521,300","559,500","433,400","491,900","647,000","652,300","491,600","644,700","645,100","705,700","503,200","596,400","649,500","670,000","481,000","655,000","668,000","761,000","582,000","690,000","782,000","888,000","645,000","777,000","773,000","769,000","694,000","873,000","902,000","1,074,000","735,000","934,000","937,000","1,241,000","889,000","1,047,000","998,000","1,418,000","941,000","1,123,000","1,020,000","1,226,000","1,111,000","1,254,000","1,158,000","1,106,000","910,000","1,171,000","1,258,000","1,334,000","963,000","1,248,000","1,227,000","1,543,000","1,220,000","1,190,000","(838,000)","1,766,000","1,717,000","1,707,000","2,003,000","2,124,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,"(4,256)","(3,880)","(3,988)","(2,782)","(4,757)","(3,941)","(6,257)","(9,253)","(11,251)","(8,527)","(12,086)","(7,634)","(12,666)","(10,228)","(15,793)","(13,613)","(16,900)","(17,100)","(13,200)","(12,800)","(14,200)","(10,100)","(10,400)","(9,400)","(10,000)","(6,700)","(13,900)","(14,400)","(15,400)","(16,700)","(14,000)","(12,600)","(13,000)","(12,300)","(12,100)","(10,200)","(7,200)","(7,100)","(7,000)","(7,400)","(7,500)","(8,100)","(5,500)","(3,900)","(4,800)","(3,700)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(38,700)",NA,NA,"(3,000)","(40,200)","(1,000)","(2,000)","(1,000)","(32,000)",NA,"(9,000)","(8,000)","(11,000)","(8,000)","(10,000)","(7,000)","(6,000)","(5,000)","(5,000)","(4,000)","(16,000)","(9,000)","(9,000)","(11,000)","(9,000)","(10,000)","(11,000)","(7,000)","(6,000)","(6,000)","(7,000)","(9,000)","(9,000)","(11,000)","(20,000)","(27,000)","(28,000)","(27,000)","(26,000)","(25,000)","(46,000)","(31,000)","(34,000)","(32,000)","(34,000)","(36,000)","(26,000)","(28,000)","(61,000)","(72,000)","(76,000)","(72,000)","(76,000)","(74,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest and Invest. Income,NA,NA,NA,"19,064",NA,NA,NA,"26,094",NA,NA,NA,"16,083",NA,NA,NA,"20,100",NA,NA,NA,"16,500",NA,NA,NA,"13,000",NA,NA,NA,"13,600",NA,NA,NA,"13,900",NA,NA,NA,"13,600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"3,600","6,400","5,700","8,400","16,300","13,100","14,100","15,800","24,200","24,600","23,100","18,700","49,400","10,100","5,000",NA,"37,600",NA,NA,NA,"30,000","1,000","8,000","8,000","7,000","8,000","7,000","7,000","5,000","8,000","6,000","6,000","9,000","1,000","1,000","2,000","1,000","1,000","2,000","1,000","2,000","2,000","2,000","4,000","4,000","4,000","5,000","8,000","10,000","11,000","13,000","12,000","34,000","20,000","20,000","20,000","22,000","21,000","14,000","16,000","11,000","7,000","6,000","8,000","13,000","17,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
